version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
Python 2.5.6,nbody.py 50000,0.97,0.42,0.54,0.25,0.05,0.06,7.63,3.24,0.00,0.02,2.15,1381970157,3.671 GHz,4486203930,3.15,376.36 msec,0.993,1380116861,3.667 GHz,10,642982616,8101711,376.45 msec,0.993,1815 C,759547806,3135857,0.41%,0,701605598,8980,8980,0,106917,28739,26.880,1412804730,3129044,0.22%,845394,110999,13.13%,330965,1412494661,289,0.00%,10589,758188,7160.15%,0,0
Python 2.7.18,nbody.py 50000,0.96,0.43,0.54,0.24,0.05,0.06,7.66,3.27,0.00,0.03,2.15,1435222591,3.668 GHz,4631656623,3.11,391.27 msec,0.994,1422563047,3.635 GHz,10,668114346,8457625,391.33 msec,0.994,1620 C,712943838,2261698,0.32%,0,627743041,9040,9040,0,593380,119451,20.131,1333146049,595406,0.04%,35192,11175,31.75%,223752,1406782697,11874,0.00%,23401,46601,199.14%,0,0
Python 3.0.1,nbody.py 50000,0.97,0.40,0.52,0.23,0.06,0.08,7.54,2.94,0.00,0.14,2.15,1400671544,3.592 GHz,4493874351,3.12,389.90 msec,0.995,1397955491,3.585 GHz,16,652638469,8269089,389.93 msec,0.995,1390 C,753101503,1910967,0.25%,0,710270158,9013,9013,0,210674,52766,25.046,1429353609,130904,0.01%,12373,63677,514.64%,302000,1380938209,12964,0.00%,28565,531,1.86%,0,0
Python 3.4.10,nbody.py 50000,0.97,0.39,0.57,0.24,0.09,0.16,6.80,2.73,0.00,0.12,2.10,1716084210,3.495 GHz,4673058013,2.67,490.93 msec,1.000,1711596909,3.486 GHz,36,812732498,10309443,490.98 msec,1.000,1032 C,872185721,6606994,0.76%,0,743232608,8730,8730,0,4250050,925162,21.768,1582791065,997968,0.06%,16911,2815,16.65%,110015,1620113529,269,0.00%,47605,1357,2.85%,0,0
Python 3.5.10,nbody.py 50000,0.96,0.46,0.52,0.26,0.09,0.04,6.78,2.69,0.00,0.14,2.06,1729012614,3.565 GHz,4636249034,2.59,484.93 msec,0.995,1727006600,3.561 GHz,7,841095685,10659794,484.96 msec,0.995,1214 C,869248041,6946607,0.80%,0,726099059,8799,8799,0,5082596,1119579,22.028,1531678015,1119991,0.07%,23058,3840,16.65%,438330,1574851574,75,0.00%,41867,2916,6.96%,0,0
Python 3.6.15,nbody.py 50000,0.98,0.40,0.57,0.24,0.09,0.10,6.71,2.69,0.00,0.12,2.07,1736299169,3.486 GHz,4706284587,2.66,498.09 msec,1.000,1732486377,3.478 GHz,30,839182214,10634765,498.13 msec,1.000,983 C,877012854,6490231,0.74%,0,715878900,8793,8793,0,511660,939220,183.563,1483068424,3454988,0.23%,630273,3133,0.50%,442185,1457552459,463,0.00%,52879,888,1.68%,0,0
Python 3.7.16,nbody.py 50000,0.99,0.46,0.49,0.20,0.08,0.09,6.95,2.85,0.00,0.06,2.00,1564087990,3.212 GHz,4473743800,2.84,486.92 msec,0.969,1594501471,3.274 GHz,22,811571903,10319257,486.98 msec,0.969,636 C,859229547,6620394,0.77%,0,701982850,8648,8648,0,173140,41396,23.909,1214286603,321782,0.03%,19195,7396,38.53%,146682,1288105687,29157,0.00%,26962,434,1.61%,0,0
Python 3.8.16,nbody.py 50000,0.97,0.43,0.52,0.24,0.09,0.03,6.78,2.72,0.00,0.06,2.08,1861469724,3.528 GHz,5019410883,2.64,527.55 msec,1.000,1854509090,3.515 GHz,34,892115099,11333757,527.59 msec,1.000,859 C,977993317,8093695,0.83%,0,790308368,8624,8624,0,176102,54334,30.854,1687315597,506577,0.03%,18737,3105,16.57%,149643,1683662366,7024,0.00%,156299,26734,17.10%,0,0
Python 3.9.16,nbody.py 50000,0.98,0.45,0.55,0.25,0.09,0.09,6.68,2.63,0.01,0.37,2.01,1989931086,3.539 GHz,5343986037,2.60,562.31 msec,0.996,1985844186,3.531 GHz,9,989345598,12546019,562.35 msec,0.996,1126 C,1003765489,7774931,0.77%,0,752383692,8649,8649,0,1165341,157646,13.528,1607523592,1817785,0.11%,127625,18111,14.19%,708855,1722979375,1899,0.00%,50530,1061221,2100.18%,0,0
Python 3.10.11,nbody.py 50000,0.98,0.40,0.57,0.24,0.08,0.05,6.55,2.68,0.00,0.13,2.06,1897688563,3.504 GHz,4953641478,2.55,541.61 msec,1.000,1898517217,3.505 GHz,27,920225075,11633780,541.66 msec,1.000,841 C,965840477,7957160,0.82%,0,806635838,8662,8662,0,132940,43753,32.912,1677264249,194097,0.01%,13352,4158,31.14%,115270,1686215753,124,0.00%,34957,268870,769.14%,0,0
Python 3.11.3,nbody.py 50000,0.98,0.48,0.47,0.20,0.08,0.15,7.26,2.45,0.02,0.30,2.06,1057719284,3.242 GHz,2711224745,2.44,326.20 msec,0.993,1054938540,3.234 GHz,30,514069527,6513493,326.25 msec,0.993,727 C,478922329,2091684,0.44%,0,576691795,8917,8917,0,230046,32849,14.279,1161652749,207835,0.02%,17569,3298,18.77%,126869,1169028247,313,0.00%,12297,1479,12.03%,0,0
Python 3.12.0b1,nbody.py 50000,0.98,0.48,0.47,0.25,0.08,0.10,6.76,2.75,0.00,0.48,2.02,1085609564,3.362 GHz,2892483741,2.51,322.85 msec,0.993,1075327377,3.330 GHz,8,539277350,6845517,322.91 msec,0.993,1129 C,559781732,3905275,0.70%,0,422496511,8736,8736,0,251755,24075,9.563,1139355897,255142,0.02%,30606,6543,21.38%,169879,1133125621,954,0.00%,56517,290945,514.79%,0,0
Python 3.13.0a0,nbody.py 50000,0.97,0.51,0.46,0.24,0.13,0.11,6.82,2.67,0.00,0.04,2.01,1145588471,3.374 GHz,3056607418,2.52,339.53 msec,0.993,1140213751,3.358 GHz,11,569631345,7219706,339.56 msec,0.993,1094 C,556881842,5266094,0.95%,0,425444973,8744,8744,0,149459,45637,30.535,1138130235,176025,0.02%,13355,2809,21.03%,93970,1142603966,440,0.00%,17734,155621,877.53%,0,0
